name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
ffi::os_str::<impl core::cmp::PartialOrd<ffi::os_str::OsStr> for alloc_crate::borrow::Cow<'a, ffi::os_str::OsStr>>::partial_cmp;false;false;true;false
std_float::StdFloat::floor;false;true;false;false
<ffi::os_str::OsString as core::cmp::PartialOrd<&'a ffi::os_str::OsStr>>::partial_cmp;false;false;true;false
sys::pal::unix::decode_error_kind;false;false;false;false
<io::stdio::StdoutLock<'_> as io::stdio::IsTerminal>::is_terminal;false;false;true;false
backtrace_rs::symbolize::gimli::elf::debug_path_exists;false;false;false;false
fs::write;false;false;false;false
f64::<impl f64>::sin_cos;false;false;true;false
collections::hash::map::VacantEntry::<'a, K, V>::insert_entry;false;false;true;false
panicking::begin_panic_handler::StaticStrPayload;false;false;false;false
f128::<impl f128>::log10;false;true;true;false
net::udp::UdpSocket::leave_multicast_v4;false;false;false;false
<sync::mpmc::select::Operation as core::fmt::Debug>::fmt;false;false;true;false
sys::pal::unix::fd::FileDesc::duplicate;false;false;false;false
process::ExitStatus::code;false;false;false;false
sync::lazy_lock::LazyLock::<T, F>::into_inner;false;true;true;false
env::join_paths;false;false;false;false
io::default_read_vectored;false;false;true;true
sync::poison::rwlock::RwLock::<T>::read;false;true;true;false
<process::ChildStdin as io::Write>::flush;false;false;true;false
<backtrace_rs::symbolize::gimli::parse_running_mmaps::MapsEntry as core::cmp::Eq>::assert_receiver_is_total_eq;false;false;true;false
sys::pal::unix::process::process_inner::ExitStatus;false;false;false;false
sync::mpmc::list::Channel::<T>::discard_all_messages;false;true;true;true
<sys::pal::unix::os::EnvStrDebug<'_> as core::fmt::Debug>::fmt;false;false;true;false
<&'b ffi::os_str::OsStr as core::cmp::PartialOrd<alloc_crate::borrow::Cow<'a, ffi::os_str::OsStr>>>::partial_cmp;false;false;true;false
<os::unix::net::listener::UnixListener as os::fd::raw::AsRawFd>::as_raw_fd;false;false;false;false
<net::tcp::TcpStream as sys_common::AsInner<sys::net::connection::socket::TcpStream>>::as_inner;false;false;false;false
net::udp::UdpSocket::send_to;false;false;false;false
<io::buffered::linewriter::LineWriter<W> as io::Write>::write;false;false;true;false
path::Path::_with_file_name;false;false;false;false
<path::Components<'_> as core::convert::AsRef<path::Path>>::as_ref;false;false;true;false
sys::sync::rwlock::futex::RwLock::spin_write;false;false;true;false
collections::hash::map::HashMap::<K, V, S>::values;false;false;true;false
os::unix::net::datagram::UnixDatagram::pair;false;false;false;false
collections::hash::set::HashSet::<T, S>::get_or_insert_with;false;false;true;false
os::fd::net::<impl os::fd::raw::IntoRawFd for net::udp::UdpSocket>::into_raw_fd;false;false;false;false
path::Components::<'a>::parse_next_component;false;true;true;true
<io::buffered::bufwriter::WriterPanicked as core::fmt::Debug>::fmt;false;false;true;false
sys_common::wstr::WStrUnits::<'_>::peek;false;true;true;false
sys_common::wtf8::Wtf8Buf::shrink_to_fit;false;false;true;false
collections::hash::set::assert_covariance;false;false;false;false
collections::hash::map::HashMap::<K, V, S>::iter_mut;false;false;true;false
<fs::Metadata as os::unix::fs::MetadataExt>::nlink;false;false;true;false
sys_common::wtf8::Wtf8Buf::leak;false;true;true;false
sync::mpmc::select::Operation::hook;false;false;true;false
sys::pal::unix::fd::max_iov;false;false;false;false
<fs::Metadata as os::linux::fs::MetadataExt>::st_mtime;false;false;true;false
sync::mpmc::zero::Packet::<T>::message_on_stack;false;false;false;false
os::unix::net::stream::UnixStream::shutdown;false;false;false;false
<sync::mpsc::RecvError as core::fmt::Debug>::fmt;false;false;true;false
io::IoSliceMut;false;false;true;false
sys::net::connection::socket::UdpSocket::ttl;false;false;false;false
rt::init;true;true;true;false
sys::pal::unix::process::process_common::ChildStdio::Explicit;false;false;false;false
backtrace_rs::symbolize::gimli::parse_running_mmaps::MapsEntry::ip_matches;false;false;true;false
path::<impl core::convert::AsRef<path::Path> for str>::as_ref;false;false;false;false
sys::net::connection::socket::UdpSocket::set_multicast_ttl_v4;false;false;false;false
sys::random::linux::getrandom;false;true;true;true
sys::sync::once::futex::OnceState::poison;false;false;true;false
thread::current::init_current;false;true;true;false
sys::io::io_slice::iovec::IoSliceMut::<'a>::into_slice;false;true;true;false
fs::Metadata::is_symlink;false;false;true;false
thread::local::LocalKey::<core::cell::RefCell<T>>::take;false;false;true;false
sys::net::connection::socket::TcpStream::is_write_vectored;false;false;false;false
collections::hash::map::HashMap::<K, V>::with_capacity;false;false;false;false
sync::reentrant_lock::Tid::set;true;false;true;false
backtrace_rs::backtrace::libunwind::trace;true;true;true;false
<&fs::File as io::Write>::write;false;false;true;false
sys::sync::mutex::futex::Mutex::try_lock;false;false;true;false
<thread::spawnhook::SpawnHooks as core::clone::Clone>::clone;false;false;true;false
path::StripPrefixError;false;false;false;false
